Timestamp,Full name,Email,Consent,Completed PPL,PPL training start,First solo,XC solos complete,PPL checkride,Completed IFR,IFR training start,XC PIC complete,IFR checkride,Completed ASEL COM,ASEL COM start,ASEL COM checkride,Completed AMEL,AMEL start,AMEL checkride,Completed CFI,CFI start,CFI checkride,Completed CFII,CFII start,CFII checkride,Completed MEI,MEI start,MEI checkride,Anything else
5/18/2026 9:14:22,Alex Martinez,alex.martinez@gmail.com,Yes,Yes,March 2022,July 2022,October 2022,December 2022,Yes,January 2023,April 2023,June 2023,Yes,July 2023,October 2023,Yes,November 2023,December 2023,Yes,January 2024,March 2024,Yes,April 2024,May 2024,Yes,June 2024,July 2024,
5/18/2026 11:42:08,Jamie Chen,jamie.chen@gmail.com,Yes,Yes,September 2021,February 2022,June 2022,September 2022,Yes,November 2022,March 2023,June 2023,Yes,August 2023,December 2023,Yes,February 2024,April 2024,Yes,May 2024,September 2024,Yes,October 2024,December 2024,Yes,January 2025,March 2025,
5/18/2026 14:03:51,Sarah Williams,swilliams88@yahoo.com,Yes,No,,,,,Yes,March 2023,July 2023,September 2023,Yes,October 2023,February 2024,Yes,March 2024,May 2024,Yes,June 2024,October 2024,Yes,November 2024,January 2025,Yes,February 2025,April 2025,Got my PPL at a Cessna pilot center in 2020 before moving to Provectus for everything else.
5/19/2026 7:18:39,Marcus Johnson,marcus.j.johnson@gmail.com,No,No,,,,,Yes,June 2022,October 2022,January 2023,Yes,February 2023,May 2023,Yes,June 2023,August 2023,Yes,September 2023,December 2023,Yes,January 2024,February 2024,Yes,March 2024,May 2024,
5/19/2026 8:55:14,Priya Patel,priya.patel.aviation@gmail.com,Yes,Yes,January 2022,June 2022,October 2022,January 2023,Yes,February 2023,June 2023,September 2023,Yes,October 2023,February 2024,Yes,March 2024,May 2024,Yes,June 2024,September 2024,No,,,No,,,
5/19/2026 10:22:47,David Kim,dkim.flies@protonmail.com,Yes,No,,,,,Yes,April 2024,August 2024,November 2024,Yes,December 2024,March 2025,No,,,No,,,No,,,No,,,I got my PPL at a different school in Texas before moving here. Wanted to highlight that so my hours don't get attributed wrong.
5/19/2026 13:47:30,Emma Thompson,emma.thompson1995@gmail.com,Yes,Yes,October 2020,March 2021,August 2021,November 2021,Yes,January 2022,May 2022,August 2022,Yes,September 2022,February 2023,No,,,No,,,No,,,No,,,
5/19/2026 16:09:11,Ryan O'Brien,ryanobrien.atl@gmail.com,Yes,Yes,February 2020,August 2020,February 2021,May 2021,Yes,July 2021,December 2021,March 2022,Yes,April 2022,September 2022,Yes,October 2022,January 2023,Yes,February 2023,June 2023,Yes,July 2023,September 2023,Yes,October 2023,December 2023,
5/19/2026 19:33:48,Sofia Garcia,sofiag.garcia@outlook.com,No,Yes,April 2023,September 2023,March 2024,July 2024,No,,,,No,,,No,,,No,,,No,,,No,,,"PPL was just for fun, no plans to go pro."
5/20/2026 6:48:02,Tyler Brooks,tylerbrooks23@gmail.com,No,No,,,,,No,,,,No,,,No,,,No,,,No,,,No,,,"Started PPL training in August 2023, had to pause for a medical issue in early 2024 and never restarted. About 25 hours logged."
5/20/2026 9:15:27,Olivia Nguyen,olivia.nguyen@gmail.com,Yes,Yes,May 2021,October 2021,February 2022,May 2022,Yes,June 2022,November 2022,February 2023,Yes,March 2023,August 2023,Yes,June 2023,August 2023,No,,,No,,,No,,,"I did my AMEL training while still finishing up commercial single-engine, and combined both checkrides into the same August 2023 trip."
5/20/2026 11:38:55,Brandon Lee,blee.cfi@gmail.com,Yes,No,,,,,No,,,,No,,,No,,,Yes,February 2024,June 2024,Yes,July 2024,September 2024,Yes,October 2024,December 2024,Came to Provectus after getting PPL/IFR/COM/AMEL at a Part 141 school in Arizona. Did all my CFI ratings here.
5/20/2026 14:12:43,Hannah Davis,hdavis.av@gmail.com,Yes,Yes,August 2022,January 2023,July 2023,October 2023,Yes,November 2023,March 2024,June 2024,No,,,No,,,No,,,No,,,No,,,
5/20/2026 17:04:19,Christopher Wilson,chris.wilson.atp@gmail.com,Yes,No,,,,,No,,,,No,,,Yes,August 2023,October 2023,Yes,November 2023,February 2024,No,,,Yes,March 2024,April 2024,"Already had PPL/IFR/COM single from another school. Did multi-engine, CFI, and MEI here. Plan to come back for CFII later."
5/21/2026 8:27:51,Isabella Rodriguez,isabella.rodriguez@gmail.com,Yes,Yes,January 2023,June 2023,November 2023,February 2024,Yes,March 2024,July 2024,October 2024,Yes,November 2024,February 2025,Yes,March 2025,April 2025,Yes,May 2025,August 2025,Yes,September 2025,October 2025,Yes,November 2025,December 2025,
5/21/2026 10:58:14,Noah Carter,noah.carter@gmail.com,Yes,Yes,March 2024,August 2024,January 2025,April 2025,Yes,May 2025,September 2025,December 2025,Yes,January 2026,April 2026,No,,,No,,,No,,,No,,,
5/21/2026 12:33:09,Ava Singh,ava.singh@gmail.com,Yes,Yes,June 2021,November 2021,April 2022,August 2022,Yes,September 2022,February 2023,May 2023,Yes,June 2023,October 2023,Yes,November 2023,January 2024,No,,,No,,,No,,,
5/21/2026 15:46:22,Ethan Murphy,emurphy.flies@gmail.com,No,No,,,,,No,,,,Yes,January 2024,May 2024,No,,,Yes,June 2024,September 2024,Yes,October 2024,December 2024,No,,,Did PPL and IFR at another school 2020-2021. Came to Provectus for commercial and instructor.
5/22/2026 9:11:38,Mia Foster,mia.foster.av@gmail.com,Yes,Yes,February 2022,July 2022,December 2022,March 2023,Yes,April 2023,August 2023,November 2023,Yes,December 2023,April 2024,Yes,May 2024,July 2024,No,,,No,,,No,,,
5/22/2026 14:25:50,Lucas Bennett,lucasb@gmail.com,No,No,,,,,Yes,August 2022,December 2022,March 2023,Yes,April 2023,July 2023,No,,,Yes,August 2023,November 2023,Yes,December 2023,February 2024,No,,,
