Invoice #,Invoice Date,Client,Reservation #,Line Item Description,Category,Quantity (hrs/units),Rate ($),Amount ($),Status
INV200000,2020-03-06,Ryan O'Brien,R100640,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.6,190,304.0,Outstanding
INV200000,2020-03-06,Ryan O'Brien,R100640,Instructor time - Jenny Park,Instructor,1.9,75,142.5,Outstanding
INV200001,2020-03-19,Ryan O'Brien,R100657,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200001,2020-03-19,Ryan O'Brien,R100657,Instructor time - Sarah Phillips,Instructor,1.7,75,127.5,Paid
INV200002,2020-04-02,Ryan O'Brien,R100651,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.2,185,407.0,Paid
INV200002,2020-04-02,Ryan O'Brien,R100651,Instructor time - Sarah Phillips,Instructor,2.5,75,187.5,Paid
INV200003,2020-04-24,Ryan O'Brien,R100633,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.2,185,407.0,Paid
INV200003,2020-04-24,Ryan O'Brien,R100633,Instructor time - Sarah Phillips,Instructor,2.2,75,165.0,Paid
INV200004,2020-04-29,Ryan O'Brien,R100656,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.9,185,351.5,Paid
INV200004,2020-04-29,Ryan O'Brien,R100656,Instructor time - Sarah Phillips,Instructor,1.9,75,142.5,Paid
INV200005,2020-04-29,Ryan O'Brien,R100628,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200005,2020-04-29,Ryan O'Brien,R100628,Instructor time - Sarah Phillips,Instructor,1.9,75,142.5,Paid
INV200006,2020-05-05,Ryan O'Brien,R100654,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200006,2020-05-05,Ryan O'Brien,R100654,Instructor time - Jenny Park,Instructor,2.6,75,195.0,Paid
INV200007,2020-05-27,Ryan O'Brien,R100648,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.6,190,304.0,Paid
INV200007,2020-05-27,Ryan O'Brien,R100648,Instructor time - Jenny Park,Instructor,2.1,75,157.5,Paid
INV200008,2020-06-05,Ryan O'Brien,R100642,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.3,185,425.5,Paid
INV200008,2020-06-05,Ryan O'Brien,R100642,Instructor time - Sarah Phillips,Instructor,2.8,75,210.0,Paid
INV200009,2020-06-14,Ryan O'Brien,R100649,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.9,185,351.5,Paid
INV200009,2020-06-14,Ryan O'Brien,R100649,Instructor time - Sarah Phillips,Instructor,2.2,75,165.0,Paid
INV200010,2020-07-10,Ryan O'Brien,R100627,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200010,2020-07-10,Ryan O'Brien,R100627,Instructor time - Mike Anderson,Instructor,2.6,75,195.0,Paid
INV200011,2020-07-29,Ryan O'Brien,R100637,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.8,185,333.0,Paid
INV200011,2020-07-29,Ryan O'Brien,R100637,Instructor time - Sarah Phillips,Instructor,2.3,75,172.5,Paid
INV200012,2020-08-18,Ryan O'Brien,R100644,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200012,2020-08-18,Ryan O'Brien,R100644,Instructor time - Sarah Phillips,Instructor,2.4,75,180.0,Paid
INV200012,2020-08-18,Ryan O'Brien,R100644,Ground instruction / briefing,Ground,0.8,65,52.0,Paid
INV200013,2020-09-19,Ryan O'Brien,R100631,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200013,2020-09-19,Ryan O'Brien,R100631,Instructor time - Sarah Phillips,Instructor,1.4,75,105.0,Paid
INV200013,2020-09-19,Ryan O'Brien,R100631,Ground instruction / briefing,Ground,1.0,65,65.0,Paid
INV200014,2020-09-23,Ryan O'Brien,R100629,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.3,190,247.0,Paid
INV200014,2020-09-23,Ryan O'Brien,R100629,Instructor time - Doug Hayes,Instructor,1.6,75,120.0,Paid
INV200014,2020-09-23,Ryan O'Brien,R100629,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200015,2020-10-04,Ryan O'Brien,R100658,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.7,175,297.5,Paid
INV200015,2020-10-04,Ryan O'Brien,R100658,Instructor time - Jenny Park,Instructor,2.0,75,150.0,Paid
INV200015,2020-10-04,Ryan O'Brien,R100658,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200016,2020-10-12,Emma Thompson,R100579,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.8,175,315.0,Paid
INV200016,2020-10-12,Emma Thompson,R100579,Instructor time - Tom Reyes,Instructor,1.8,75,135.0,Paid
INV200017,2020-10-31,Emma Thompson,R100581,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.2,185,222.0,Outstanding
INV200017,2020-10-31,Emma Thompson,R100581,Instructor time - Jenny Park,Instructor,1.2,75,90.0,Outstanding
INV200018,2020-11-10,Emma Thompson,R100582,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.6,185,296.0,Paid
INV200018,2020-11-10,Emma Thompson,R100582,Instructor time - Tom Reyes,Instructor,1.6,75,120.0,Paid
INV200019,2020-11-14,Ryan O'Brien,R100639,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.0,190,380.0,Paid
INV200020,2020-11-19,Emma Thompson,R100557,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.1,190,399.0,Paid
INV200020,2020-11-19,Emma Thompson,R100557,Instructor time - Tom Reyes,Instructor,2.1,75,157.5,Paid
INV200021,2020-11-19,Emma Thompson,R100549,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.8,185,333.0,Paid
INV200021,2020-11-19,Emma Thompson,R100549,Instructor time - Tom Reyes,Instructor,2.1,75,157.5,Paid
INV200021,2020-11-19,Emma Thompson,R100549,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200022,2020-11-21,Ryan O'Brien,R100653,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.3,185,425.5,Paid
INV200023,2020-12-07,Emma Thompson,R100580,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.6,185,296.0,Paid
INV200023,2020-12-07,Emma Thompson,R100580,Instructor time - Jenny Park,Instructor,1.6,75,120.0,Paid
INV200023,2020-12-07,Emma Thompson,R100580,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200024,2020-12-18,Emma Thompson,R100567,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.2,185,222.0,Paid
INV200024,2020-12-18,Emma Thompson,R100567,Instructor time - Tom Reyes,Instructor,1.2,75,90.0,Paid
INV200025,2020-12-23,Ryan O'Brien,R100655,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.3,185,240.5,Paid
INV200026,2020-12-24,Ryan O'Brien,R100630,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.3,175,402.5,Paid
INV200027,2020-12-29,Ryan O'Brien,R100625,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.3,185,240.5,Paid
INV200028,2020-12-30,Emma Thompson,R100578,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.8,175,315.0,Paid
INV200028,2020-12-30,Emma Thompson,R100578,Instructor time - Tom Reyes,Instructor,1.8,75,135.0,Paid
INV200029,2021-01-04,Ryan O'Brien,R100641,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.1,190,399.0,Paid
INV200030,2021-01-14,Emma Thompson,R100569,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.0,185,370.0,Paid
INV200030,2021-01-14,Emma Thompson,R100569,Instructor time - Mike Anderson,Instructor,2.5,75,187.5,Paid
INV200031,2021-01-12,Ryan O'Brien,R100634,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200031,2021-01-12,Ryan O'Brien,R100634,Instructor time - Mike Anderson,Instructor,1.9,75,142.5,Paid
INV200031,2021-01-12,Ryan O'Brien,R100634,Ground instruction / briefing,Ground,1.0,65,65.0,Paid
INV200032,2021-01-17,Ryan O'Brien,R100645,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.8,185,333.0,Paid
INV200032,2021-01-17,Ryan O'Brien,R100645,Instructor time - Sarah Phillips,Instructor,2.1,75,157.5,Paid
INV200033,2021-01-24,Emma Thompson,R100561,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200033,2021-01-24,Emma Thompson,R100561,Instructor time - Tom Reyes,Instructor,1.4,75,105.0,Paid
INV200034,2021-02-05,Ryan O'Brien,R100643,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.2,185,222.0,Paid
INV200034,2021-02-05,Ryan O'Brien,R100643,Instructor time - Sarah Phillips,Instructor,1.5,75,112.5,Paid
INV200035,2021-02-11,Ryan O'Brien,R100660,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.5,190,285.0,Paid
INV200035,2021-02-11,Ryan O'Brien,R100660,Instructor time - Sarah Phillips,Instructor,1.5,75,112.5,Paid
INV200035,2021-02-11,Ryan O'Brien,R100660,Ground instruction / briefing,Ground,0.7,65,45.5,Paid
INV200036,2021-02-15,Emma Thompson,R100574,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.8,175,315.0,Paid
INV200036,2021-02-15,Emma Thompson,R100574,Instructor time - Doug Hayes,Instructor,1.8,75,135.0,Paid
INV200037,2021-02-15,Ryan O'Brien,R100626,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.8,190,342.0,Paid
INV200037,2021-02-15,Ryan O'Brien,R100626,Instructor time - Sarah Phillips,Instructor,2.1,75,157.5,Paid
INV200038,2021-02-14,Ryan O'Brien,R100647,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.5,185,277.5,Paid
INV200038,2021-02-14,Ryan O'Brien,R100647,Instructor time - Sarah Phillips,Instructor,1.5,75,112.5,Paid
INV200038,2021-02-14,Ryan O'Brien,R100647,Ground instruction / briefing,Ground,0.8,65,52.0,Paid
INV200039,2021-03-09,Emma Thompson,R100555,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.8,175,315.0,Paid
INV200039,2021-03-09,Emma Thompson,R100555,Instructor time - Jenny Park,Instructor,1.8,75,135.0,Paid
INV200040,2021-03-13,Emma Thompson,R100551,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.3,185,425.5,Paid
INV200040,2021-03-13,Emma Thompson,R100551,Instructor time - Tom Reyes,Instructor,2.6,75,195.0,Paid
INV200041,2021-03-15,Emma Thompson,R100552,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.7,185,314.5,Paid
INV200042,2021-03-18,Emma Thompson,R100583,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200042,2021-03-18,Emma Thompson,R100583,Instructor time - Tom Reyes,Instructor,1.9,75,142.5,Paid
INV200042,2021-03-18,Emma Thompson,R100583,Ground instruction / briefing,Ground,1.5,65,97.5,Paid
INV200043,2021-03-21,Emma Thompson,R100564,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.3,185,240.5,Paid
INV200044,2021-03-19,Ryan O'Brien,R100636,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.3,190,437.0,Paid
INV200044,2021-03-19,Ryan O'Brien,R100636,Instructor time - Sarah Phillips,Instructor,2.3,75,172.5,Paid
INV200045,2021-03-31,Emma Thompson,R100566,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.5,185,277.5,Paid
INV200046,2021-04-03,Emma Thompson,R100575,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.3,185,425.5,Paid
INV200047,2021-04-11,Ryan O'Brien,R100646,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200047,2021-04-11,Ryan O'Brien,R100646,Instructor time - Sarah Phillips,Instructor,1.4,75,105.0,Paid
INV200048,2021-04-15,Emma Thompson,R100570,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.1,190,399.0,Paid
INV200048,2021-04-15,Emma Thompson,R100570,Instructor time - Tom Reyes,Instructor,2.1,75,157.5,Paid
